ホーム,アウェイ,ホームスコア,アウェイスコア
ヴィッセル神戸,大宮アルディージャ,3,1
ガンバ大阪,セレッソ大阪,3,1
横浜F・マリノス,清水エスパルス,2,2
川崎フロンターレ,ジュビロ磐田,2,5
鹿島アントラーズ,ヴァンフォーレ甲府,3,0
コンサドーレ札幌,浦和レッズ,2,0
セレッソ大阪,浦和レッズ,4,2
浦和レッズ,アルビレックス新潟,2,1
FC東京,鹿島アントラーズ,2,2
ヴィッセル神戸,ベガルタ仙台,3,0
サガン鳥栖,川崎フロンターレ,2,3
ジュビロ磐田,ヴァンフォーレ甲府,1,0
セレッソ大阪,柏レイソル,2,1
横浜F・マリノス,サンフレッチェ広島,1,1
大宮アルディージャ,コンサドーレ札幌,2,2
清水エスパルス,ガンバ大阪,2,0
ガンバ大阪,鹿島アントラーズ,0,1
川崎フロンターレ,浦和レッズ,4,1
セレッソ大阪,FC東京,3,1
柏レイソル,鹿島アントラーズ,2,3
ヴァンフォーレ甲府,サガン鳥栖,0,0
アルビレックス新潟,ジュビロ磐田,0,2
ベガルタ仙台,ガンバ大阪,2,3
浦和レッズ,サンフレッチェ広島,4,3
川崎フロンターレ,ヴィッセル神戸,5,0
大宮アルディージャ,横浜F・マリノス,1,2
コンサドーレ札幌,清水エスパルス,1,0
ガンバ大阪,川崎フロンターレ,1,1
サガン鳥栖,浦和レッズ,2,1
柏レイソル,コンサドーレ札幌,2,1
サンフレッチェ広島,大宮アルディージャ,0,3
鹿島アントラーズ,アルビレックス新潟,2,0
ジュビロ磐田,FC東京,2,0
ベガルタ仙台,セレッソ大阪,2,4
横浜F・マリノス,ヴィッセル神戸,2,0
清水エスパルス,ヴァンフォーレ甲府,1,0
浦和レッズ,ジュビロ磐田,2,4
FC東京,横浜F・マリノス,0,1
アルビレックス新潟,大宮アルディージャ,1,2
ヴァンフォーレ甲府,柏レイソル,0,0
ヴィッセル神戸,ガンバ大阪,0,1
サガン鳥栖,ベガルタ仙台,1,1
セレッソ大阪,清水エスパルス,1,1
川崎フロンターレ,サンフレッチェ広島,1,0
鹿島アントラーズ,コンサドーレ札幌,3,0
柏レイソル,浦和レッズ,1,0
横浜F・マリノス,川崎フロンターレ,2,0
大宮アルディージャ,サガン鳥栖,1,1
ジュビロ磐田,ガンバ大阪,3,0
セレッソ大阪,アルビレックス新潟,4,0
ベガルタ仙台,ヴァンフォーレ甲府,3,0
サンフレッチェ広島,鹿島アントラーズ,1,3
コンサドーレ札幌,ヴィッセル神戸,1,2
清水エスパルス,FC東京,0,2
ヴィッセル神戸,セレッソ大阪,1,2
FC東京,ヴァンフォーレ甲府,1,1
ベガルタ仙台,アルビレックス新潟,2,1
サガン鳥栖,コンサドーレ札幌,1,0
柏レイソル,大宮アルディージャ,4,2
サンフレッチェ広島,ジュビロ磐田,0,0
清水エスパルス,横浜F・マリノス,1,3
ヴィッセル神戸,FC東京,1,1
ガンバ大阪,サガン鳥栖,3,0
大宮アルディージャ,セレッソ大阪,0,3
アルビレックス新潟,コンサドーレ札幌,1,0
ヴァンフォーレ甲府,サンフレッチェ広島,1,2
ジュビロ磐田,柏レイソル,0,2
浦和レッズ,清水エスパルス,3,3
横浜F・マリノス,ベガルタ仙台,1,1
鹿島アントラーズ,川崎フロンターレ,0,3
コンサドーレ札幌,ガンバ大阪,0,2
大宮アルディージャ,ベガルタ仙台,2,1
FC東京,柏レイソル,1,2
