開催日,試合名,勝敗,得点,失点,PK,スコア,対戦チーム,会場
2013/09/10,キリンチャレンジカップ2013,○,3,1,,○3-1,ガーナ,横浜国際総合競技場（日産スタジアム）
2013/09/06,キリンチャレンジカップ2013,○,3,0,,○3-0,グアテマラ,大阪長居スタジアム
2013/08/14,キリンチャレンジカップ2013,●,2,4,,●2-4,ウルグアイ,宮城スタジアム
2013/07/28,EAFF 東アジアカップ2013　決勝大会,○,2,1,,○2-1,韓国,蚕室
2013/07/25,EAFF 東アジアカップ2013　決勝大会,○,3,2,,○3-2,オーストラリア,華城
2013/07/21,EAFF 東アジアカップ2013　決勝大会,△,3,3,,△3-3,中国,ソウル
2013/06/22,FIFAコンフェデレーションズカップブラジル2013,●,1,2,,●1-2,メキシコ,Belo Horizonte
2013/06/19,FIFAコンフェデレーションズカップブラジル2013,●,3,4,,●3-4,イタリア,Recife
2013/06/15,FIFAコンフェデレーションズカップブラジル2013,●,0,3,,●0-3,ブラジル,Brasilia
2013/06/11,2014FIFAワールドカップブラジル　アジア最終予選,○,1,0,,○1-0,イラク,Al Arabi Stadium
2013/06/04,2014FIFAワールドカップブラジル　アジア最終予選,△,1,1,,△1-1,オーストラリア,埼玉スタジアム２００２
2013/05/30,キリンチャレンジカップ2013,●,0,2,,●0-2,ブルガリア,愛知・豊田スタジアム
2013/03/26,2014FIFAワールドカップブラジル　アジア最終予選,●,1,2,,●1-2,ヨルダン,King Abdullah International Stadium
2013/03/22,国際親善試合,○,2,1,,○2-1,カナダ,ハリファ・インターナショナルスタジアム
2013/02/06,キリンチャレンジカップ2013,○,3,0,,○3-0,ラトビア,ホームズスタジアム神戸
2012/11/14,2014FIFAワールドカップブラジル　アジア最終予選,○,2,1,,○2-1,オマーン,Sultan Qaboos Sports Complex
2012/10/16,国際親善試合,●,0,4,,●0-4,ブラジル,スタディオン・ヴロツワフ
2012/10/12,国際親善試合,○,1,0,,○1-0,フランス,スタッド・ド・フランス
2012/09/11,2014FIFAワールドカップブラジル　アジア最終予選,○,1,0,,○1-0,イラク,埼玉スタジアム２００２
2012/09/06,キリンチャレンジカップ2012,○,1,0,,○1-0,アラブ首長国連邦,東北電ス
2012/08/15,キリンチャレンジカップ2012,△,1,1,,△1-1,ベネズエラ,札幌ドーム
2012/06/12,2014FIFAワールドカップブラジル　アジア最終予選,△,1,1,,△1-1,オーストラリア,ブリスベン
2012/06/08,2014FIFAワールドカップブラジル　アジア最終予選,○,6,0,,○6-0,ヨルダン,埼玉スタジアム２００２
2012/06/03,2014FIFAワールドカップブラジル　アジア最終予選,○,3,0,,○3-0,オマーン,埼玉スタジアム２００２
2012/05/23,キリンチャレンジカップ2012,○,2,0,,○2-0,アゼルバイジャン,エコパスタジアム
2012/02/29,2014FIFAワールドカップブラジル　アジア3次予選,●,0,1,,●0-1,ウズベキスタン,豊田スタジアム
2012/02/24,キリンチャレンジカップ2012,○,3,1,,○3-1,アイスランド,大阪長居スタジアム
2011/11/15,2014FIFAワールドカップブラジル　アジア3次予選,●,0,1,,●0-1,朝鮮民主主義人民共和国,Kim II Sung Stadium
2011/11/11,2014FIFAワールドカップブラジル　アジア3次予選,○,4,0,,○4-0,タジキスタン,Dushanbe Central Stadium
2011/10/11,2014FIFAワールドカップブラジル　アジア3次予選,○,8,0,,○8-0,タジキスタン,大阪長居スタジアム
2011/10/07,キリンチャレンジカップ2011,○,1,0,,○1-0,ベトナム,ホームズスタジアム神戸
2011/09/06,2014FIFAワールドカップブラジル　アジア3次予選,△,1,1,,△1-1,ウズベキスタン,Pakhtakor Stadium
2011/09/02,2014FIFAワールドカップブラジル　アジア3次予選,○,1,0,,○1-0,朝鮮民主主義人民共和国,埼玉スタジアム２００２
2011/08/10,キリンチャレンジカップ2011,○,3,0,,○3-0,韓国,札幌ド
2011/06/07,キリンカップサッカー2011,△,0,0,,△0-0,チェコ,横浜国際総合競技場
2011/06/01,キリンカップサッカー2011,△,0,0,,△0-0,ペルー,東北電力ビッグスワン
2011/03/29,東北地方太平洋沖地震復興支援チャリティーマッチ,○,2,1,,○2-1,Ｊリーグ選抜,大阪長居スタジアム
2011/01/29,AFCアジアカップ カタール2011,○,1,0,,○1-0,オーストラリア,カリファ
2011/01/25,AFCアジアカップ カタール2011,○,2,2,PK3-0,○2-2 (PK3-0),韓国,アルガラファ
2011/01/21,AFCアジアカップ カタール2011,○,3,2,,○3-2,カタール,アルガラファ
2011/01/17,AFCアジアカップ カタール2011,○,5,0,,○5-0,サウジアラビア,アルライヤン
2011/01/13,AFCアジアカップ カタール2011,○,2,1,,○2-1,シリア,ＱＳＣ
2011/01/09,AFCアジアカップ カタール2011,△,1,1,,△1-1,ヨルダン,ＱＳＣ
2010/10/12,国際親善試合,△,0,0,,△0-0,韓国,ソウルワールドカップスタジアム
2010/10/08,キリンチャレンジカップ2010,○,1,0,,○1-0,アルゼンチン,埼玉スタジアム2○○2
2010/09/07,キリンチャレンジカップ2010,○,2,1,,○2-1,グアテマラ,大阪長居スタジアム
2010/09/04,キリンチャレンジカップ2010,○,1,0,,○1-0,パラグアイ,日産スタジアム
2010/06/29,2010FIFAワールドカップ 南アフリカ,●,0,0,PK3-5,●0-0 (PK3-5),パラグアイ,ツワネ／プレトリア
2010/06/24,2010FIFAワールドカップ 南アフリカ,○,3,1,,○3-1,デンマーク,ルステンブルク
2010/06/19,2010FIFAワールドカップ 南アフリカ,●,0,1,,●0-1,オランダ,ダーバン
2010/06/14,2010FIFAワールドカップ 南アフリカ,○,1,0,,○1-0,カメルーン,マンガウング／ブルームフォンテーン
2010/06/04,国際親善試合,●,0,2,,●0-2,コートジボワール,スタッド・ド・トゥルビオン
2010/05/30,国際親善試合,●,1,2,,●1-2,イングランド,UPCアレナ
2010/05/24,キリンチャレンジカップ2010,●,0,2,,●0-2,韓国,埼玉スタジアム2○○2
2010/04/07,キリンチャレンジカップ2010,●,0,3,,●0-3,セルビア,大阪長居スタジアム
2010/03/03,AFCアジアカップ2011カタール予選,○,2,0,,○2-0,バーレーン,豊田スタジアム
2010/02/14,東アジアサッカー選手権2010 決勝大会,●,1,3,,●1-3,韓国,国立競技場
2010/02/11,東アジアサッカー選手権2010 決勝大会,○,3,0,,○3-0,香港,国立競技場
2010/02/06,東アジアサッカー選手権2010 決勝大会,△,0,0,,△0-0,中国,味の素スタジアム
2010/02/02,キリンチャレンジカップ2010,△,0,0,,△0-0,ベネズエラ,九州石油ドーム
2010/01/06,AFCアジアカップ2011カタール予選,○,3,2,,○3-2,イエメン,アリー・ムフシン・スタジアム
2009/11/18,AFCアジアカップ2011カタール予選,○,4,0,,○4-0,香港,
2009/11/14,南アフリカ遠征（国際親善試合）,△,0,0,,△0-0,南アフリカ,
2009/10/14,キリンチャレンジカップ2009　～ALL FOR 2010!～,○,5,0,,○5-0,トーゴ,
2009/10/10,キリンチャレンジカップ2009　～ALL FOR 2010!～,○,2,0,,○2-0,スコットランド,
2009/10/08,AFCアジアカップ2011カタール予選,○,6,0,,○6-0,香港,
2009/09/09,オランダ遠征(国際親善試合),○,4,3,,○4-3,ガーナ,
2009/09/05,オランダ遠征(国際親善試合),●,0,3,,●0-3,オランダ,
2009/06/17,2010FIFAワールドカップ南アフリカ　アジア最終予選,●,1,2,,●1-2,オーストラリア,
2009/06/10,2010FIFAワールドカップ南アフリカ　アジア最終予選,△,1,1,,△1-1,カタール,
2009/06/06,2010FIFAワールドカップ南アフリカ　アジア最終予選,○,1,0,,○1-0,ウズベキスタン,
2009/05/31,キリンカップ2009　～ALL FOR 2010!～,○,4,0,,○4-0,ベルギー,
2009/05/27,キリンカップ2009　～ALL FOR 2010!～,○,4,0,,○4-0,チリ,
2009/03/28,2010FIFAワールドカップ南アフリカ　アジア最終予選,○,1,0,,○1-0,バーレーン,
2009/02/11,2010FIFAワールドカップ南アフリカ　アジア最終予選,△,0,0,,△0-0,オーストラリア,
2009/02/04,キリンチャレンジカップ2009　～ALL FOR 2010!～,○,5,1,,○5-1,フィンランド,
2009/01/28,AFCアジアカップ2011カタール予選,●,0,1,,●0-1,バーレーン,
2009/01/20,AFCアジアカップ2011カタール予選,○,2,1,,○2-1,イエメン,
2008/11/19,2010FIFAワールドカップ南アフリカ　アジア最終予選,○,3,0,,○3-0,カタール,
2008/11/13,キリンチャレンジカップ2008　～ALL FOR 2010!～,○,3,1,,○3-1,シリア,
2008/10/15,2010FIFAワールドカップ南アフリカ　アジア最終予選,△,1,1,,△1-1,ウズベキスタン,
2008/10/09,キリンチャレンジカップ2008　～ALL FOR 2010!～,△,1,1,,△1-1,UAE,
2008/09/06,2010FIFAワールドカップ南アフリカ　アジア最終予選,○,3,2,,○3-2,バーレーン,
2008/08/20,キリンチャレンジカップ2008　～ALL FOR 2010!～,●,1,3,,●1-3,ウルグアイ,
2008/06/22,2010 FIFAワールドカップ 南アフリカ アジア3次予選,○,1,0,,○1-0,バーレーン,
2008/06/14,2010 FIFAワールドカップ 南アフリカ アジア3次予選,○,3,0,,○3-0,タイ,
2008/06/07,2010 FIFAワールドカップ 南アフリカ アジア3次予選,△,1,1,,△1-1,オマーン,
2008/06/02,2010 FIFAワールドカップ 南アフリカ アジア3次予選,○,3,0,,○3-0,オマーン,
2008/05/27,キリンカップサッカー2008　～ALL FOR 2010!～,△,0,0,,△0-0,パラグアイ,
2008/05/24,キリンカップサッカー2008　～ALL FOR 2010!～,○,1,0,,○1-0,コートジボワール,
2008/03/26,2010 FIFAワールドカップ 南アフリカ アジア3次予選,●,0,1,,●0-1,バーレーン,
2008/02/23,東アジアサッカー選手権2008 決勝大会,△,1,1,,△1-1,韓国,
2008/02/20,東アジアサッカー選手権2008 決勝大会,○,1,0,,○1-0,中国,
2008/02/17,東アジアサッカー選手権2008 決勝大会,△,1,1,,△1-1,朝鮮民主主義人民共和国,
2008/02/06,2010 FIFAワールドカップ 南アフリカ アジア3次予選,○,4,1,,○4-1,タイ,
2008/01/30,キリンチャレンジカップ2008　～ALL FOR 2010!～,○,3,0,,○3-0,ボスニア・ヘルツェゴビナ,
2008/01/26,キリンチャレンジカップ2008　～ALL FOR 2010!～,△,0,0,,△0-0,チリ,
