等級等,当せん金,本数
1等,700000000,24
1等の前後賞,150000000,48
1等の組違い賞,100000,4776
2等,10000000,72
3等,1000000,2400
4等,100000,96000
5等,10000,480000
6等,3000,4800000
7等,300,48000000
