体重,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,   125～ 
男,0,0,0,0,0,0,0.1,0.1,0,0.2,0.4,1,1,1.9,3,4.3,5.6,10.1,11.8,14.8,19.9,23.3,28.5,32.2,36.5,44.1,42.9,46.9,49.2,48.7,49.6,44.4,49.6,40.4,39.1,36,37.1,28.2,29.6,23.6,22.6,20.1,17.2,15.8,15,13.7,9.6,7.8,6.6,7.8,5.6,5.3,5.5,3.8,4.6,3.5,3.3,2.5,2.9,1.6,1.5,1.7,1.1,1.3,2.3,1.6,1.6,0.6,1.1,0.8,0.6,0.7,0.7,0.5,0.5,0.6,0.6,0.6,0.3,0.3,0.6,0.1,0.1,0,0.2,0,0.1,0.1,0.2,0.1,0,0,0.1,0.2,0,0.3
女,0,0,0,0.1,0.2,1.5,0.9,1.2,3.8,5.1,7.7,10.1,20.1,24.2,29.8,35.1,49,51,57.5,56.5,58.8,58.4,60.8,60.3,53,52.8,39.9,38.1,38.1,28,25.3,19.2,16.1,14.8,11.6,12.3,9.3,7.6,6.3,4.2,4.3,3.3,3.4,2,3,1.8,1.5,1.8,0.9,0.8,1.1,0.8,0.9,0.9,0.4,0.6,0.2,0.6,0.3,0.3,0.2,0.2,0.5,0.2,0.1,0.4,0.2,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
