胸囲,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
男,0.1,0,0,0.1,0.2,0.6,0.9,1.2,2.3,4,7.2,10.6,16,27.9,32.2,48.9,53.7,62,67.8,74.3,81.8,72.1,67.5,58.2,48.9,50.6,35.2,31.7,24,18.2,18.4,13,10.9,8.7,6.8,7.9,5.7,4.2,4.1,2.8,3.3,1.8,2.2,1.6,1,1.5,1.4,0.9,1,0.3,0.9,0.4,0.4,0.5,0.6,0.2,0.2,0.3,0.2,0.3,0,0.1,0
女,0,0,0,0.5,0.4,2.1,2.8,6.5,9,17.8,25,40,48.4,60.1,71.9,93.4,82,86.8,79.4,69.5,59.3,48.6,42.8,34,24.6,19.3,16,11.7,7.6,7.4,6.1,5.3,3.9,3.1,2.4,2.5,1.5,1,1.2,0.9,1.1,0.6,0.4,0.6,0.6,0.4,0.5,0.2,0,0.1,0.3,0.1,0,0,0.2,0.1,0,0,0,0,0,0,0
