東京都,13636222
神奈川,9145572
大阪,8837812
愛知,7507691
埼玉,7288081
千葉,6240575
兵庫,5521205
北海道,5352306
福岡,5106707
静岡,3686945
茨城,2907262
広島,2838494
京都,2605731
宮城,2329431
新潟,2285856
岐阜,2022785
栃木,1968425
群馬,1966381
岡山,1915401
福島,1900253
三重,1807611
熊本,1774538
鹿児島,1637272
沖縄,1439913
滋賀,1413079
山口,1393904
愛媛,1374881
長崎,1366514
奈良,1356950
青森,1293681
岩手,1268083
大分,1159634
石川,1150818
山形,1113029
宮崎,1095863
富山,1061393
秋田,1009659
香川,972156
和歌山,953924
山梨,829884
佐賀,828388
福井,782584
徳島,750210
高知,720907
島根,689817
